task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
242	08/5df940	39541	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (D0305916_S01_L001)	COMPLETED	0	2025-04-17 17:03:46.866	3.7s	1s	99.4%	6.7 MB	28.1 MB	49.6 MB	99.7 KB
244	c2/bcfac0	39580	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (D1251843_S01_L001)	COMPLETED	0	2025-04-17 17:03:48.472	2.7s	0ms	95.7%	4.2 MB	26.6 MB	18.5 MB	6.5 KB
240	08/dd75d2	39432	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D0372208_S01_L001)	COMPLETED	0	2025-04-17 17:03:44.695	8.3s	5s	98.8%	317.2 MB	954.8 MB	88 MB	52.8 MB
132	7c/081081	39189	NFCORE_BACTMAP:BACTMAP:BWA_MEM (D2453159_S01_L001)	COMPLETED	0	2025-04-17 17:03:41.300	11.9s	9s	225.6%	202.5 MB	634.6 MB	191.3 MB	192.8 MB
247	40/5f6991	39704	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (D1816817_S01_L001)	COMPLETED	0	2025-04-17 17:03:50.554	2.9s	0ms	99.8%	4.2 MB	26.6 MB	35.2 MB	7.1 KB
135	77/9c008f	39275	NFCORE_BACTMAP:BACTMAP:BWA_MEM (D1088210_S01_L001)	COMPLETED	0	2025-04-17 17:03:42.002	13.6s	10s	226.6%	190.6 MB	627.5 MB	218.7 MB	216.1 MB
249	76/90359e	39852	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (D1251843_S01_L001)	COMPLETED	0	2025-04-17 17:03:53.475	2.4s	0ms	94.1%	2.7 MB	11 MB	63.5 KB	1.1 KB
251	cf/ab7d52	39778	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (D1251843_S01_L001)	COMPLETED	0	2025-04-17 17:03:53.029	3.6s	2s	85.8%	6.5 MB	28.1 MB	18.5 MB	77.4 KB
248	bd/84983e	39743	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D0599005_S01_L001)	COMPLETED	0	2025-04-17 17:03:51.134	6.8s	5s	97.5%	310 MB	954.8 MB	83.3 MB	49.4 MB
250	4c/6b842f	39925	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (D1251843_S01_L001)	COMPLETED	0	2025-04-17 17:03:55.858	2.3s	0ms	98.1%	4.1 MB	26.6 MB	18.5 MB	765 B
253	bf/5320e1	39961	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (D0372208_S01_L001)	COMPLETED	0	2025-04-17 17:03:56.606	2.3s	1s	99.6%	4.2 MB	26.6 MB	52.9 MB	6.9 KB
128	17/c7dbf9	38922	NFCORE_BACTMAP:BACTMAP:BWA_MEM (D0595886_S01_L001)	COMPLETED	0	2025-04-17 17:03:36.140	23.4s	21s	241.0%	202.9 MB	747.2 MB	522 MB	535.4 MB
257	eb/01f1f4	40037	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (D1816817_S01_L001)	COMPLETED	0	2025-04-17 17:03:58.216	2.8s	1s	68.9%	4.2 MB	26.6 MB	35.2 MB	763 B
